Summary,Issue Type,Description,Priority,Assignee,Reporter,Steps to Reproduce,Expected Result
"UI - Verify default login page layout","Test","Verify that the default login page has VWO branding and all necessary fields.","High",,,"1. Navigate to app.vwo.com","Login form with VWO branding is displayed cleanly. 'Email Address', 'Password', 'Remember Me', and a 'Registration/Free Trial' link are visible."
"UI - Verify Auto-focus","Test","Verify the Email field auto-focuses on load.","Medium",,,"1. Navigate to the login page","The 'Email Address' field should automatically receive focus upon page load."
"UI - Verify responsive design on mobile","Test","Verify the layout scales properly on mobile devices.","High",,,"1. Open login page on mobile device simulation","Layout should be touch-friendly, properly scaled, and optimized for mobile screens without horizontal scrolling."
"AUTH - Successful Login with valid credentials","Test","Verify that valid credentials result in a successful login.","Highest",,,"1. Enter valid Email Address
2. Enter correct Password
3. Click 'Sign In'","User successfully logs in, transitions seamlessly to the VWO core platform dashboard."
"AUTH - Verify 'Remember Me' Functionality","Test","Verify the 'Remember Me' persistent session feature.","High",,,"1. Enter valid credentials
2. Check 'Remember Me'
3. Click 'Sign In'
4. Close browser and reopen app.vwo.com","User is automatically authenticated without needing to re-enter credentials."
"AUTH - Verify 2FA / MFA Support","Test","Verify multi-factor authentication.","Highest",,,"1. Login with a valid 2FA enabled account
2. Enter email/password
3. Enter OTP","User is prompted for the OTP and gets successfully authenticated ONLY after providing the valid OTP."
"ERR - Invalid Email Format","Test","Verify real-time validation for invalid email formats.","High",,,"1. Enter 'user@invalid'
2. Click outside the field (blur)","Immediate validation error should prompt the user about an invalid email format."
"ERR - Login with incorrect password","Test","Verify failed login due to incorrect password occurs cleanly.","Highest",,,"1. Enter valid email
2. Enter incorrect password
3. Click 'Sign In'","Clear and actionable error message indicating authentication failure."
"ERR - Rate-limiting (Brute force protection)","Test","Verify protections against brute force attacks.","Highest",,,"1. Attempt >10 invalid logins rapidly","Request throttling occurs; error message stating too many attempts (or captcha appears) blocking further attempts."
"NEG - SQL Injection Attempt in Inputs","Test","Verify login fields neutralize SQL injection.","Highest",,,"1. Enter '' OR 1=1 --' in Email and Password
2. Click 'Sign In'","Application must sanitize input. Validation error occurs or authentication fails securely. No DB exposure or successful login."
"NEG - XSS Script in Email Field","Test","Verify login fields neutralize Cross-site Scripting attempts.","Highest",,,"1. Enter '<script>alert(""xss"")</script>' in email field
2. Click 'Sign In'","Application sanitizes input and does not execute the script. Fails with authentication error."
"NEG - Browser Back Button after Logout","Test","Verify user cannot access dashboard by clicking back button after logout.","High",,,"1. Login successfully
2. Logout
3. Click browser 'Back' button","User should not access the dashboard and should be redirected to the login screen."
"PWD - Verify Forgot Password recovery process","Test","Verify that user can request password reset.","High",,,"1. Click on the 'Forgot Password' link
2. Complete reset email process","A secure password reset token/link is generated and sent to the respective email address."
"INT - Single Sign-On (SSO) login attempt","Test","Verify enterprise SSO functionality.","High",,,"1. Click 'Sign in with SSO'
2. Authenticate through identity provider","User is redirected through SAML/OAuth flow and successfully logs into the VWO dashboard."
"PERF - Verify Page Load Time","Test","Verify performance metrics.","Medium",,,"1. Navigate to app.vwo.com on standard 4G/WiFi","Page fully loads in under 2 seconds."
"SEC - Verify HTTPS enforcement","Test","Verify the login traffic is entirely encrypted.","Highest",,,"1. Attempt to access login page via 'http://app.vwo.com'","Request is automatically redirected to 'https://app.vwo.com' with valid SSL/TLS certificate."
